input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
sotalol,959-24-0,Beta Blockers,ng/l,1442,1,"",3,1,,,1,,,sotalol,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
SPE_S,"",Saturated paste extraction from sediment,%,1443,1,"",2,2,,,1,,,Saturated paste extraction from sediment,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Sr-D,"","Strontium, dissolved",mg/L,1130,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sr-E,"","Strontium, extractable",mg/L,1130,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sr-T,"","Strontium, total",mg/L,1130,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sr-T_S,"","Strontium, Total in Sediment",mg/kg,1130,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
SS,"",settleable solids (Imhoff cone),mL/L,102,1,"",2,1,,,1,,,"","",,"",,TRUE,maybe change units in ac params? Should be mL/L; UNIT_REVIEW: EQWin unit 'mL/L' vs AquaCache unit 'mg/l',FALSE,0,mapped_existing_parameter
S-T,"","Sulphur, Total",mg/L,1133,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
S-T_S,"","Sulphur, Total in sediment",mg/kg,1133,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
Stigm,83-48-7,Stigmasterol,ng/L,1444,1,"",2,1,,,1,,,Stigmasterol,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Styrn,"",Styrene,µg/L,591,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Styrn_S,"","Styrene, in sediment",mg/kg,591,1,mg/kg,2,2,,,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
Sucralose,"",Sucralose,ng/L,592,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
sulfamethoxazole,"",Antibiotics,ng/l,597,1e-06,"",3,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
sulfapyridine,"",Antibiotics,ng/l,598,1e-06,"",3,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sulphd,"",Sulphide as S,mg/L,1132,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sulpht-F,"",Sulpht-F,mg/L,1133,1,"",1,1,19,19,1,,,"","",,"",,TRUE,not sure what this is - sulphate? Sulphite?,FALSE,0,mapped_existing_parameter
Surf,"",Surfactants,mg/L,602,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
T12DCE,"","trans-1,2-Dichloroethylene",µg/L,619,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
T13DCPE,10061-02-6,"trans-1,3-Dichloropropylene",µg/L,668,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Ta-D,"","Tantalum (Ta), Dissolved",mg/L,1135,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TBMA,75-25-2,Bromoform,µg/L,621,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TC13DCPE,542-75-6,"Dichloropropylene, cis+trans-1,3-",µg/L,668,0.001,"",3,1,,,1,,,"","",,"",,FALSE,old naming convention,FALSE,0,mapped_existing_parameter
TCA,"",Trichloroethane,µg/L,1445,0.001,"",2,1,,,1,,,Trichloroethane,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
TCEE,"",Trichloroethylene,mg/L,624,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TCFMA,75-69-4,Trichlorofluoromethane,µg/L,362,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TCMA,"",Chloroform,µg/L,370,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TDS_C,"","Total dissolved solids, calculated by lab",mg/L,104,1,"",3,1,,,3,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TDS_G,"",Total dissolved solids by gravimetry,mg/L,104,1,"",3,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TDS-F,"",Total Dissolved Solids (in field),mg/L,104,1,"",1,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
tebut-P,"",tebuthiuron,µg/L,989,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TeCA,"","1,1,2,2-tetrachloroethane (TeCA)",µg/L,147,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Te-D,"","Tellurium, dissolved",mg/L,1136,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
TEG,112-27-6,"Triethylene glycol, TEG, or triglycol",mg/L,191,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Temp-F,"",Water Temperature (in Field),C,1251,1,"",1,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Temp-L,"",Water Temperature (Lab),C,1251,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Terbacil,"","Herbicide, C9H13ClN2O2",µg/L,992,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Te-T,"","Tellurium, total",mg/L,1136,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Te-T_S,"","Tellurium, Total in sediment",mg/kg,1136,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
Thallium208,14913-50-9,Thallium208,Bq/L,1446,1,"",2,1,,,1,,,Thallium-208,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Th-D,"","Thorium, dissolved",mg/L,1139,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Thorium227,15623-47-9,Thorium227,Bq/L,1447,1,"",2,1,,,1,,,Thorium-227,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
